Y,U,czas
0.971942,0.0283485,0.0429,
0.972201,0.0280875,0.043,
0.972457,0.0278289,0.0431,
0.97271,0.0275726,0.0432,
0.972961,0.0273188,0.0433,
0.97321,0.0270672,0.0434,
0.973457,0.026818,0.0435,
0.973702,0.0265711,0.0436,
0.973944,0.0263264,0.0437,
0.974184,0.026084,0.0438,
0.974421,0.0258438,0.0439,
0.974657,0.0256059,0.044,
0.97489,0.0253701,0.0441,
0.975121,0.0251365,0.0442,
0.97535,0.0249051,0.0443,
0.975577,0.0246757,0.0444,
0.975802,0.0244485,0.0445,
0.976025,0.0242234,0.0446,
0.976246,0.0240004,0.0447,
0.976465,0.0237794,0.0448,
0.976681,0.0235604,0.0449,
0.976896,0.0233435,0.045,
0.977109,0.0231286,0.0451,
0.977319,0.0229156,0.0452,
0.977528,0.0227046,0.0453,
0.977735,0.0224955,0.0454,
0.97794,0.0222884,0.0455,
0.978143,0.0220832,0.0456,
0.978345,0.0218798,0.0457,
0.978544,0.0216784,0.0458,
0.978742,0.0214788,0.0459,
0.978937,0.021281,0.046,
0.979131,0.0210851,0.0461,
0.979323,0.0208909,0.0462,
0.979514,0.0206985,0.0463,
0.979702,0.020508,0.0464,
0.979889,0.0203191,0.0465,
0.980074,0.020132,0.0466,
0.980258,0.0199467,0.0467,
0.98044,0.019763,0.0468,
0.98062,0.019581,0.0469,
0.980798,0.0194007,0.047,
0.980975,0.0192221,0.0471,
0.98115,0.0190451,0.0472,
0.981324,0.0188697,0.0473,
0.981496,0.018696,0.0474,
0.981666,0.0185238,0.0475,
0.981835,0.0183533,0.0476,
0.982002,0.0181843,0.0477,
0.982168,0.0180168,0.0478,
0.982332,0.0178509,0.0479,
0.982495,0.0176866,0.048,
0.982656,0.0175237,0.0481,
0.982816,0.0173624,0.0482,
0.982974,0.0172025,0.0483,
0.983131,0.0170441,0.0484,
0.983286,0.0168872,0.0485,
0.98344,0.0167317,0.0486,
0.983592,0.0165776,0.0487,
0.983744,0.016425,0.0488,
0.983893,0.0162737,0.0489,
0.984042,0.0161239,0.049,
0.984188,0.0159754,0.0491,
0.984334,0.0158283,0.0492,
0.984478,0.0156826,0.0493,
