x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-9.280000E+00,+1.206030E+00,+217.085E-03,-321.608E-03,-1.407035E+00
-9.275000E+00,+1.206030E+00,+289.447E-03,-361.809E-03,-1.407035E+00
-9.270000E+00,+1.005025E+00,+289.447E-03,-361.809E-03,-1.407035E+00
-9.265000E+00,+1.005025E+00,+318.392E-03,-377.889E-03,-1.407035E+00
-9.260000E+00,+1.246231E+00,+318.392E-03,-377.889E-03,-1.407035E+00
-9.255000E+00,+1.809045E+00,+159.196E-03,-201.005E-03,-1.447236E+00
-9.250000E+00,+2.010050E+00,+144.724E-03,-160.804E-03,-1.407035E+00
-9.245000E+00,+2.010050E+00,+144.724E-03,-201.005E-03,-1.608040E+00
-9.240000E+00,+2.130653E+00,+144.724E-03,-201.005E-03,-1.608040E+00
-9.235000E+00,+2.010050E+00,+144.724E-03,-201.005E-03,-1.608040E+00
-9.230000E+00,+2.170854E+00,+144.724E-03,-201.005E-03,-1.768844E+00
-9.225000E+00,+2.211055E+00,+144.724E-03,-241.206E-03,-1.608040E+00
-9.220000E+00,+2.251256E+00,+144.724E-03,-192.965E-03,-1.648241E+00
-9.215000E+00,+2.412060E+00,+115.779E-03,-160.804E-03,-1.688442E+00
-9.210000E+00,+2.291457E+00,+188.141E-03,-201.005E-03,-1.809045E+00
-9.205000E+00,+2.412060E+00,+144.724E-03,-201.005E-03,-1.809045E+00
-9.200000E+00,+2.412060E+00,+144.724E-03,-201.005E-03,-1.809045E+00
-9.195000E+00,+2.613065E+00,+130.251E-03,-160.804E-03,-1.809045E+00
-9.190000E+00,+2.532663E+00,+173.668E-03,-257.286E-03,-1.809045E+00
-9.185000E+00,+2.090452E+00,+260.503E-03,-305.528E-03,-1.809045E+00
-9.180000E+00,+1.648241E+00,+376.281E-03,-434.171E-03,-1.809045E+00
-9.175000E+00,+1.608040E+00,+361.809E-03,-482.412E-03,-1.809045E+00
-9.170000E+00,+2.010050E+00,+289.447E-03,-434.171E-03,-1.809045E+00
-9.165000E+00,+2.291457E+00,+260.503E-03,-321.608E-03,-1.889447E+00
-9.160000E+00,+2.733668E+00,+173.668E-03,-241.206E-03,-2.010050E+00
-9.155000E+00,+1.728643E+00,+448.643E-03,-498.492E-03,-2.010050E+00
-9.150000E+00,+1.809045E+00,+434.171E-03,-442.211E-03,-2.010050E+00
-9.145000E+00,+2.010050E+00,+361.809E-03,-418.090E-03,-2.010050E+00
-9.140000E+00,+2.010050E+00,+361.809E-03,-426.131E-03,-2.010050E+00
-9.135000E+00,+2.211055E+00,+361.809E-03,-418.090E-03,-2.010050E+00
-9.130000E+00,+2.331658E+00,+303.920E-03,-377.889E-03,-2.010050E+00
-9.125000E+00,+2.814070E+00,+217.085E-03,-281.407E-03,-2.211055E+00
-9.120000E+00,+3.216080E+00,+159.196E-03,-201.005E-03,-2.170854E+00
-9.115000E+00,+2.653266E+00,+318.392E-03,-393.970E-03,-2.211055E+00
-9.110000E+00,+2.010050E+00,+463.116E-03,-546.734E-03,-2.211055E+00
-9.105000E+00,+1.969849E+00,+448.643E-03,-530.653E-03,-2.371859E+00
-9.100000E+00,+2.211055E+00,+434.171E-03,-442.211E-03,-2.211055E+00
-9.095000E+00,+2.010050E+00,+506.533E-03,-562.814E-03,-2.211055E+00
-9.090000E+00,+2.170854E+00,+477.588E-03,-546.734E-03,-2.291457E+00
-9.085000E+00,+2.733668E+00,+318.392E-03,-377.889E-03,-2.211055E+00
-9.080000E+00,+2.653266E+00,+289.447E-03,-393.970E-03,-2.251256E+00
-9.075000E+00,+2.814070E+00,+361.809E-03,-442.211E-03,-2.412060E+00
-9.070000E+00,+2.854271E+00,+289.447E-03,-361.809E-03,-2.251256E+00
-9.065000E+00,+2.894472E+00,+289.447E-03,-385.930E-03,-2.412060E+00
-9.060000E+00,+3.537688E+00,+173.668E-03,-257.286E-03,-2.412060E+00
-9.055000E+00,+3.658291E+00,+144.724E-03,-241.206E-03,-2.412060E+00
-9.050000E+00,+2.412060E+00,+434.171E-03,-562.814E-03,-2.412060E+00
-9.045000E+00,+2.050251E+00,+578.894E-03,-635.176E-03,-2.452261E+00
-9.040000E+00,+2.251256E+00,+535.477E-03,-603.015E-03,-2.532663E+00
-9.035000E+00,+2.050251E+00,+607.839E-03,-659.296E-03,-2.613065E+00
-9.030000E+00,+2.934673E+00,+434.171E-03,-482.412E-03,-2.572864E+00
-9.025000E+00,+3.015075E+00,+361.809E-03,-482.412E-03,-2.613065E+00
